iter	Passed	Remaining
0	1	1749
1	2	1444
2	3	1326
3	5	1256
4	5	1193
5	7	1170
6	8	1145
7	9	1126
8	10	1107
9	11	1132
10	12	1137
11	13	1132
12	14	1133
13	16	1126
14	16	1115
15	18	1108
16	19	1100
17	20	1092
18	21	1086
19	22	1090
20	23	1089
21	24	1083
22	25	1079
23	26	1081
24	27	1079
25	28	1074
26	29	1070
27	30	1066
28	31	1064
29	32	1062
30	33	1058
31	35	1060
32	36	1060
33	37	1066
34	38	1062
35	39	1061
36	40	1064
37	42	1066
38	43	1062
39	44	1059
40	45	1056
41	46	1053
42	47	1050
43	48	1051
44	49	1049
45	50	1051
46	51	1048
47	52	1048
48	53	1046
49	55	1045
50	56	1042
51	57	1040
52	58	1038
53	59	1038
54	60	1036
55	61	1037
56	62	1034
57	63	1034
58	64	1031
59	65	1029
60	66	1027
61	67	1025
62	68	1024
63	69	1021
64	70	1020
65	72	1019
66	73	1017
67	74	1016
68	75	1013
69	76	1011
70	77	1012
71	78	1010
72	79	1009
73	81	1015
74	82	1016
75	83	1014
76	84	1012
77	85	1011
78	86	1009
79	87	1009
80	89	1016
81	91	1022
82	92	1021
83	93	1021
84	94	1019
85	95	1018
86	96	1016
87	97	1015
88	99	1014
89	100	1012
90	101	1010
91	102	1008
92	103	1008
93	104	1007
94	105	1007
95	106	1007
96	108	1005
97	109	1003
98	110	1002
99	111	1000
100	112	998
101	113	996
102	114	995
103	115	993
104	116	991
105	117	989
106	118	988
107	119	988
108	120	985
109	121	984
110	122	983
111	123	982
112	125	981
113	126	980
114	127	978
115	128	977
116	129	975
117	130	974
118	131	972
119	132	970
120	133	970
121	134	969
122	135	967
123	136	966
124	137	965
125	138	964
126	140	963
127	141	961
128	142	961
129	143	960
130	144	958
131	145	956
132	146	955
133	147	953
134	148	953
135	149	951
136	150	950
137	152	949
138	153	948
139	154	946
140	155	945
141	156	943
142	157	942
143	158	940
144	159	938
145	160	937
146	161	935
147	162	934
148	163	933
149	164	932
150	165	930
151	166	929
152	167	928
153	168	926
154	169	925
155	170	923
156	171	922
157	172	920
158	173	919
159	174	917
160	175	916
161	177	916
162	178	915
163	179	914
164	180	913
165	181	912
166	182	911
167	183	909
168	184	908
169	185	906
170	186	905
171	187	904
172	189	904
173	190	903
174	191	902
175	192	901
176	193	900
177	194	899
178	195	898
179	196	896
180	197	894
181	198	893
182	199	892
183	200	890
184	201	889
185	202	887
186	203	886
187	205	885
188	206	884
189	207	883
190	208	882
191	209	880
192	210	879
193	211	877
194	212	877
195	213	876
196	214	875
197	215	874
198	216	872
199	217	871
200	218	870
201	219	868
202	220	867
203	221	866
204	223	865
205	224	863
206	225	862
207	226	861
208	227	860
209	228	859
210	229	857
211	230	856
212	231	854
213	232	853
214	233	852
215	234	851
216	235	850
217	236	848
218	237	847
219	238	846
220	239	845
221	240	843
222	241	843
223	243	842
224	244	840
225	245	839
226	246	838
227	247	838
228	248	836
229	249	836
230	250	834
231	251	833
232	253	834
233	254	833
234	255	831
235	256	830
236	257	829
237	258	828
238	259	827
239	260	826
240	261	824
241	262	823
242	264	822
243	265	821
244	266	820
245	267	819
246	268	818
247	269	817
248	270	816
249	271	815
250	272	813
251	273	812
252	274	811
253	275	810
254	277	809
255	278	808
256	279	807
257	280	806
258	281	805
259	282	804
260	283	803
261	284	802
262	285	801
263	286	799
264	287	798
265	289	797
266	289	796
267	290	794
268	291	793
269	293	792
270	294	791
271	295	790
272	296	788
273	297	789
274	298	788
275	300	787
276	301	786
277	302	785
278	303	784
279	304	783
280	305	781
281	306	780
282	307	779
283	308	778
284	309	777
285	311	776
286	312	775
287	313	774
288	314	773
289	315	772
290	316	771
291	317	770
292	318	769
293	319	768
294	320	766
295	321	765
296	322	764
297	323	763
298	324	761
299	326	760
300	327	759
301	328	758
302	329	757
303	330	756
304	331	754
305	332	753
306	333	752
307	334	751
308	335	750
309	336	749
310	337	748
311	338	746
312	339	745
313	340	744
314	341	743
315	342	741
316	343	740
317	344	739
318	346	739
319	347	737
320	348	736
321	349	735
322	350	734
323	351	733
324	352	731
325	353	730
326	354	729
327	355	728
328	356	727
329	357	725
330	358	724
331	359	723
332	360	722
333	361	721
334	362	720
335	363	719
336	364	717
337	365	716
338	366	715
339	367	714
340	368	713
341	369	711
342	371	710
343	372	709
344	373	708
345	374	707
346	375	706
347	376	704
348	377	703
349	378	702
350	379	701
351	380	700
352	381	699
353	382	698
354	383	697
355	384	695
356	385	694
357	386	693
358	387	692
359	388	691
360	389	690
361	390	688
362	392	688
363	393	686
364	394	685
365	395	685
366	396	684
367	397	683
368	398	682
369	400	681
370	401	680
371	402	679
372	403	677
373	404	676
374	405	675
375	406	674
376	407	673
377	408	672
378	409	671
379	410	670
380	411	669
381	412	668
382	414	667
383	415	666
384	416	664
385	417	663
386	418	662
387	419	661
388	420	660
389	421	659
390	422	658
391	424	657
392	425	656
393	426	655
394	427	654
395	428	653
396	429	652
397	430	651
398	431	650
399	432	649
400	434	649
401	435	648
402	436	647
403	437	645
404	438	644
405	439	643
406	440	642
407	442	641
408	443	640
409	444	639
410	445	637
411	446	636
412	447	635
413	448	634
414	449	633
415	450	632
416	451	631
417	452	630
418	453	629
419	454	628
420	455	627
421	456	625
422	457	624
423	459	623
424	460	622
425	461	621
426	462	620
427	463	618
428	464	617
429	465	616
430	466	615
431	467	614
432	468	613
433	469	612
434	470	611
435	471	609
436	472	608
437	473	607
438	474	606
439	475	605
440	476	603
441	477	602
442	478	601
443	479	600
444	480	599
445	481	598
446	482	597
447	483	596
448	484	594
449	485	593
450	486	592
451	487	591
452	488	590
453	489	589
454	490	588
455	491	586
456	493	585
457	494	584
458	495	583
459	496	582
460	497	581
461	498	580
462	499	579
463	500	578
464	501	577
465	502	576
466	503	575
467	505	574
468	506	573
469	507	572
470	508	571
471	509	570
472	510	569
473	511	567
474	512	566
475	513	565
476	515	564
477	516	563
478	517	562
479	518	561
480	519	560
481	520	559
482	521	558
483	522	557
484	523	556
485	524	555
486	526	554
487	527	552
488	528	551
489	529	550
490	530	549
491	531	548
492	532	547
493	533	546
494	534	545
495	535	544
496	536	543
497	537	542
498	538	541
499	539	539
500	541	538
501	542	537
502	543	536
503	544	535
504	545	534
505	546	533
506	547	532
507	548	531
508	549	530
509	550	529
